rank,method,score,WPC%,FA(f),Det(s),FA(s),Early
1,Hybrid-thr0.20,102,0.0029092983456930977,0.7038486627527724,1.0,1.0,57.81818181818182
2,Hybrid-thr0.25,114,0.0029092983456930977,0.6020874103065884,1.0,1.0,56.72727272727273
3,Hybrid-thr0.30,122,0.0029092983456930977,0.5733855185909981,1.0,1.0,55.09090909090909
4,Hybrid-thr0.35,134,0.0029092983456930977,0.5551206784083497,1.0,1.0,55.0
5,MAP-coop,140,0.0037079292641186536,0.32615786040443573,1.0,0.9090909090909091,38.45454545454545
6,Hybrid-thr0.40,146,0.0029092983456930977,0.5420743639921722,1.0,1.0,54.09090909090909
7,Hybrid+AND-thr0.25,155,0.0029092983456930977,0.4018264840182648,1.0,1.0,45.54545454545455
8,Hybrid-thr0.50,158,0.0029092983456930977,0.5316373124592303,1.0,1.0,54.0
9,Hybrid+AND-thr0.30,177,0.0029092983456930977,0.4018264840182648,1.0,1.0,45.54545454545455
10,UniE2EV2X-coop,188,0.009241300627495721,0.5994781474233529,1.0,1.0,55.36363636363637
11,Hybrid+AND-thr0.35,199,0.0029092983456930977,0.4018264840182648,1.0,1.0,45.54545454545455
12,NoCon-egoonly,205,0.04415288077581289,0.0,0.0,0.0,0
13,Hybrid+AND-thr0.40,221,0.0029092983456930977,0.4018264840182648,1.0,1.0,45.54545454545455
14,RiskMM-coop,225,0.04073017683970336,0.9856490541422048,1.0,1.0,62.27272727272727
15,RSS-coop,226,0.04415288077581289,0.9523809523809523,1.0,1.0,62.27272727272727
16,NoCon-coop,227,0.04415288077581289,0.0,0.0,0.0,0
17,APF-coop,253,0.04415288077581289,1.0,1.0,1.0,62.27272727272727
