method,CollRate,2ndC,Sev,Det(s),Det(f),Early,FA(s),FA(f),WPC%,Mod%,ckpt_auc,val_scenarios
NoCon-egoonly,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.04415288077581289,0.0,0.814229377928008,22
NoCon-coop,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.04415288077581289,0.0,0.814229377928008,22
RSS-coop,0.5,0,0.0,1.0,1.0,62.27272727272727,1.0,0.9523809523809523,0.04415288077581289,0.9583571021106674,0.814229377928008,22
APF-coop,0.5,0,0.0,1.0,1.0,62.27272727272727,1.0,1.0,0.04415288077581289,1.0,0.814229377928008,22
UniE2EV2X-coop,0.5,0,0.0,1.0,0.8863636363636364,55.36363636363637,1.0,0.5994781474233529,0.009241300627495721,0.6354820308043354,0.814229377928008,22
MAP-coop,0.5,0,0.0,1.0,0.5863636363636363,38.45454545454545,0.9090909090909091,0.32615786040443573,0.0037079292641186536,0.35881346263548203,0.814229377928008,22
RiskMM-coop,0.5,0,0.0,1.0,0.9818181818181818,62.27272727272727,1.0,0.9856490541422048,0.04073017683970336,0.9851682829435254,0.814229377928008,22
Hybrid-thr0.20,0.5,0,0.0,1.0,0.95,57.81818181818182,1.0,0.7038486627527724,0.0029092983456930977,0.7347404449515117,0.814229377928008,22
Hybrid-thr0.25,0.5,0,0.0,1.0,0.9363636363636364,56.72727272727273,1.0,0.6020874103065884,0.0029092983456930977,0.6440387906446092,0.814229377928008,22
Hybrid-thr0.30,0.5,0,0.0,1.0,0.9136363636363637,55.09090909090909,1.0,0.5733855185909981,0.0029092983456930977,0.6160867084997148,0.814229377928008,22
Hybrid-thr0.35,0.5,0,0.0,1.0,0.9090909090909091,55.0,1.0,0.5551206784083497,0.0029092983456930977,0.5995436394751854,0.814229377928008,22
Hybrid-thr0.40,0.5,0,0.0,1.0,0.8954545454545455,54.09090909090909,1.0,0.5420743639921722,0.0029092983456930977,0.5864232743867656,0.814229377928008,22
Hybrid-thr0.50,0.5,0,0.0,1.0,0.8590909090909091,54.0,1.0,0.5316373124592303,0.0029092983456930977,0.5727324586423275,0.814229377928008,22
Hybrid+AND-thr0.25,0.5,0,0.0,1.0,0.6954545454545454,45.54545454545455,1.0,0.4018264840182648,0.0029092983456930977,0.43867655447803766,0.814229377928008,22
Hybrid+AND-thr0.30,0.5,0,0.0,1.0,0.6954545454545454,45.54545454545455,1.0,0.4018264840182648,0.0029092983456930977,0.43867655447803766,0.814229377928008,22
Hybrid+AND-thr0.35,0.5,0,0.0,1.0,0.6954545454545454,45.54545454545455,1.0,0.4018264840182648,0.0029092983456930977,0.43867655447803766,0.814229377928008,22
Hybrid+AND-thr0.40,0.5,0,0.0,1.0,0.6954545454545454,45.54545454545455,1.0,0.4018264840182648,0.0029092983456930977,0.43867655447803766,0.814229377928008,22
